markId,description,number,subjectId,studentId,teacherId,date
149,Poor,2,31,45,207,243,1981-01-01
150,Good,5,19,45,51,181,1971-02-26
151,Good,5,09,22,226,248,1969-09-04
152,Average,3,68,28,282,135,1969-09-03
153,Good,5,40,24,291,295,1972-02-25
154,Excellent,5,64,36,281,156,1955-02-05
155,Fair,3,40,34,314,130,1998-01-05
156,Average,3,95,28,73,76,1995-08-25
157,Excellent,5,97,26,285,78,1972-06-01
158,Average,4,23,36,281,156,1982-08-19
159,Fair,3,13,7,33,129,1958-05-01
160,Average,4,13,9,234,123,1986-04-26
161,Good,5,24,44,91,297,1987-06-11
162,Poor,2,21,40,23,208,1992-06-11
163,Good,5,26,9,173,87,1967-06-18
164,Average,4,46,33,178,103,1965-09-09
165,Average,3,63,32,279,220,1984-09-25
166,Excellent,5,76,7,262,299,1990-02-28
167,Poor,2,72,36,161,217,1990-10-20
168,Good,4,52,10,253,184,1989-09-17
169,Poor,2,71,30,118,75,2003-01-24
170,Poor,2,40,24,239,262,1987-03-07
171,Fair,3,03,19,277,177,2004-10-09
172,Average,4,45,34,314,130,1981-04-28
173,Excellent,5,83,20,43,242,1955-09-14
174,Poor,2,19,20,254,25,1970-07-05
175,Poor,2,26,27,93,136,1992-11-21
176,Excellent,5,77,34,15,160,1986-09-08
177,Excellent,5,85,17,287,302,1965-05-18
178,Fair,3,35,33,164,101,1995-04-13
179,Good,4,57,42,64,34,1962-02-17
180,Excellent,5,52,42,203,128,1976-08-14
181,Good,5,33,13,137,224,1969-05-22
182,Fair,3,29,31,163,17,1971-10-15
183,Excellent,5,76,32,299,263,1999-11-08
184,Good,4,94,27,221,323,1998-03-18
185,Good,4,80,47,286,40,2001-11-25
186,Average,3,70,23,308,256,1994-05-17
187,Excellent,5,85,14,86,66,1960-09-29
188,Fair,3,49,44,176,204,1953-08-17
189,Excellent,5,52,24,218,185,1979-07-09
190,Good,4,83,13,123,191,1968-06-15
191,Excellent,5,52,7,96,240,1953-12-17
192,Good,5,15,15,231,254,1997-02-24
193,Fair,3,14,44,27,250,1996-10-17
194,Good,4,51,22,200,292,1996-03-17
195,Excellent,5,62,29,149,154,1971-04-27
196,Good,4,81,35,147,199,1991-10-05
197,Fair,3,10,46,201,24,2002-09-27
198,Good,4,66,44,104,197,1980-09-29
199,Average,3,69,18,303,179,1962-05-16
200,Poor,2,16,44,91,297,1962-09-23
201,Poor,2,43,28,296,192,1953-04-24
202,Excellent,5,85,11,222,221,1993-01-12
203,Good,5,00,18,29,264,1990-11-30
204,Excellent,5,92,45,283,319,2001-10-28
205,Average,4,15,18,266,48,1974-05-20
206,Poor,2,64,10,1,62,1996-05-09
207,Average,3,86,38,267,257,1966-12-22
208,Good,5,21,9,234,123,1954-08-24
209,Good,5,37,37,300,218,1970-03-17
210,Average,3,63,24,218,185,1964-04-29
211,Average,4,11,23,39,289,1983-04-10
212,Good,4,62,25,313,67,1985-02-18
213,Excellent,5,66,16,120,290,1973-07-03
214,Average,3,61,45,143,244,1989-09-17
215,Good,4,80,14,280,147,1969-12-06
216,Average,3,94,36,193,233,1968-08-27
217,Poor,2,45,28,73,76,2000-08-03
218,Poor,2,32,19,25,56,1977-04-01
219,Excellent,5,67,17,84,96,1971-10-15
220,Excellent,5,93,38,267,257,1998-05-11
221,Excellent,5,91,11,222,221,1982-06-02
222,Good,5,24,12,40,266,1990-03-06
223,Good,5,01,10,56,300,1963-03-13
224,Average,3,89,7,125,280,1987-08-12
225,Poor,2,89,35,62,20,1986-03-21
226,Average,3,89,13,157,231,1960-08-15
227,Fair,3,30,40,210,29,1992-07-12
228,Fair,3,31,21,195,8,1967-06-29
229,Poor,2,58,39,183,288,2007-03-10
230,Fair,3,45,18,6,261,1954-02-18
231,Good,4,67,7,92,182,1991-12-13
232,Fair,3,19,28,35,318,1992-08-18
233,Excellent,5,67,28,159,112,1985-11-29
234,Average,4,40,20,112,269,2007-05-27
235,Good,5,08,27,202,277,1976-04-23
236,Good,5,49,18,303,179,1984-05-09
237,Average,4,30,14,122,126,1988-11-15
238,Excellent,5,85,7,185,279,2006-01-10
239,Poor,2,79,35,144,108,1976-10-30
240,Average,4,16,31,78,72,1958-07-19
241,Excellent,5,85,28,95,125,1980-05-27
242,Poor,2,64,24,239,262,1959-02-07
243,Average,4,13,12,40,266,1991-06-03
244,Average,3,88,13,38,35,1968-03-11
245,Poor,2,72,24,295,7,1993-03-07
246,Poor,2,89,44,176,204,1976-10-28
247,Excellent,5,50,33,247,113,1976-08-25
248,Excellent,5,53,29,149,154,1960-01-31
249,Excellent,5,72,40,170,4,1979-04-13
250,Average,3,67,45,79,226,1955-09-01
251,Average,4,36,34,261,93,1999-03-03
252,Poor,2,77,16,273,223,1978-06-28
253,Good,4,99,41,214,176,1961-12-16
254,Average,3,76,16,242,83,1972-01-05
255,Poor,2,26,26,259,77,1988-04-23
256,Fair,3,20,7,11,38,1971-02-19
257,Poor,2,83,36,9,201,1982-11-03
258,Fair,3,10,17,84,96,1956-04-21
259,Good,5,03,26,255,74,1968-08-09
260,Poor,2,25,21,227,227,1966-10-06
261,Good,5,34,42,64,34,1956-10-29
262,Poor,2,54,47,223,51,2007-06-25
263,Good,4,62,38,109,46,1955-06-16
264,Average,3,91,42,236,189,1969-01-27
265,Good,4,96,35,62,20,1980-05-18
266,Poor,2,92,29,288,167,1998-08-22
267,Good,4,96,46,232,186,2007-03-23
268,Fair,3,25,7,33,129,1974-02-06
269,Good,4,53,24,291,295,1966-05-28
270,Good,5,31,22,226,248,1993-07-30
271,Excellent,5,65,40,153,328,1987-10-13
272,Poor,2,61,12,331,85,2002-07-25
273,Excellent,5,54,24,171,80,1953-06-03
274,Average,3,51,21,36,140,1966-03-30
275,Poor,2,08,10,233,332,1970-12-16
276,Good,5,26,11,243,276,1976-04-26
277,Fair,3,11,13,38,35,2006-10-04
278,Fair,3,12,10,17,235,2003-01-02
279,Fair,3,17,30,118,75,2002-06-06
280,Excellent,6,00,31,41,174,1962-05-25
281,Average,4,39,21,271,271,1991-12-21
282,Average,3,77,35,212,203,1985-06-12
283,Average,3,60,38,267,257,1996-03-18
284,Good,4,91,9,294,146,2004-07-10
285,Good,5,10,26,97,42,1962-12-19
286,Average,3,89,10,322,5,1966-06-17
287,Average,4,20,9,294,146,1983-09-04
288,Average,3,90,33,134,138,1966-11-25
289,Average,4,14,7,108,169,1972-02-04
290,Average,3,88,10,253,184,1958-03-06
291,Good,4,66,19,28,63,1954-07-07
292,Fair,3,19,28,282,135,1985-07-27
293,Poor,2,82,38,94,209,1990-06-04
294,Poor,2,53,42,236,189,1963-01-25
295,Good,4,82,47,54,127,1954-09-21
296,Good,5,31,35,5,333,1980-12-03
297,Average,4,02,45,143,244,1956-08-24
298,Poor,2,21,33,164,101,1975-05-07
299,Good,4,93,30,135,21,1995-10-24
300,Excellent,5,81,27,276,41,2002-07-17
301,Average,3,94,9,217,326,1977-08-07
302,Average,4,24,14,86,66,1955-07-21
303,Fair,3,00,29,149,154,2001-09-05
304,Poor,2,40,20,254,25,1993-09-14
305,Average,4,02,16,242,83,1975-11-19
306,Average,3,75,46,321,18,2004-08-09
307,Fair,3,24,16,113,286,1978-01-26
308,Fair,3,48,21,227,227,2003-09-19
309,Average,3,68,36,228,330,1954-01-21
310,Fair,3,00,25,75,164,1964-12-28
311,Poor,2,08,7,262,299,1972-05-17
312,Excellent,5,72,13,123,191,1987-11-02
313,Excellent,5,94,36,281,156,1961-11-15
314,Good,5,03,42,230,170,1959-03-19
315,Average,3,86,24,218,185,1982-10-16
316,Average,3,56,11,120,290,1979-05-19
317,Good,4,95,16,120,290,1964-04-09
318,Excellent,5,72,15,268,307,1958-12-06
319,Good,4,82,12,45,109,1959-02-10
320,Fair,3,07,38,94,209,1966-12-02
321,Good,4,72,28,35,318,1967-12-20
322,Fair,3,05,28,73,76,1993-04-29
323,Good,5,12,13,59,166,1955-01-03
324,Poor,2,65,42,64,34,1961-03-25
325,Poor,2,65,19,190,105,1992-01-24
326,Average,4,46,26,259,77,1955-03-19
327,Excellent,5,79,32,69,320,1965-02-20
328,Good,5,00,9,156,259,1998-05-09
329,Good,4,69,44,124,81,1964-07-09
330,Poor,2,78,27,221,323,1998-01-12
331,Fair,3,24,8,100,31,1972-09-02
332,Poor,2,90,26,30,65,1984-05-31
333,Average,4,20,18,29,264,1960-03-11
334,Fair,3,36,20,43,242,2007-11-20
335,Average,4,06,26,326,229,1992-10-17
336,Poor,2,15,37,330,291,1989-06-03
337,Poor,2,77,10,77,175,1991-10-08
338,Fair,3,19,19,312,219,1955-07-06
339,Poor,2,88,46,152,16,1981-08-22
340,Fair,3,35,43,187,59,1966-05-12
341,Poor,2,65,46,201,24,1996-05-22
342,Poor,2,71,30,135,21,1987-12-16
343,Poor,2,22,22,37,36,1965-11-04
344,Fair,3,13,8,174,198,1960-02-07
345,Average,3,80,47,278,141,1993-10-19
346,Good,4,94,19,244,119,1974-09-05
347,Fair,3,25,30,158,165,1976-09-12
348,Average,3,79,37,70,33,1984-03-18
349,Good,4,67,20,43,242,1988-04-11
350,Fair,3,25,38,94,209,1983-05-05
351,Poor,2,35,27,93,136,1969-08-27
352,Average,4,31,47,223,51,2005-09-19
353,Fair,3,40,9,294,146,1969-03-27
354,Average,3,86,21,249,249,1981-11-23
355,Fair,3,08,8,124,81,1987-07-30
356,Poor,2,88,15,191,213,1992-04-10
357,Good,5,13,14,280,147,1953-07-18
358,Poor,2,35,35,194,205,1993-06-14
359,Excellent,5,76,45,141,190,1954-08-23
360,Excellent,5,57,28,73,76,1973-09-03
361,Average,3,96,12,114,303,1992-06-19
362,Average,4,25,22,246,321,1987-09-20
363,Good,4,79,47,223,51,1992-03-13
364,Poor,2,89,37,42,325,1964-01-09
365,Excellent,5,77,29,238,265,2000-04-27
366,Good,5,19,38,306,309,1995-12-18
367,Average,3,51,16,113,286,1980-08-24
368,Good,4,57,16,245,168,1961-12-27
369,Poor,2,97,12,114,303,1974-06-02
370,Average,3,71,7,185,279,2001-05-15
371,Poor,2,79,36,281,156,1995-08-12
372,Average,3,76,32,299,263,1961-10-05
373,Good,4,83,21,249,249,1985-04-15
374,Fair,3,47,17,47,44,2000-10-01
375,Poor,2,41,31,310,173,1978-07-13
376,Average,4,00,22,16,322,1988-01-04
377,Poor,2,83,30,135,21,1980-06-25
378,Average,3,98,40,34,284,2002-11-26
379,Good,4,85,9,192,285,1975-06-06
380,Average,3,71,24,239,262,1970-05-21
381,Fair,3,20,33,298,120,1986-07-07
382,Average,4,00,20,254,25,1988-12-04
383,Poor,2,32,34,314,130,1963-01-28
384,Fair,3,43,33,164,101,1989-03-06
385,Poor,2,42,24,20,45,1981-05-19
386,Good,4,93,23,209,311,1974-12-15
387,Excellent,5,50,35,216,230,1968-03-06
388,Poor,2,33,23,39,289,1986-04-19
389,Poor,2,28,9,264,137,1973-04-24
390,Fair,3,17,36,9,201,1953-07-09
391,Fair,3,02,21,227,227,1988-11-16
392,Poor,2,42,17,133,215,2006-04-25
393,Fair,3,43,16,53,278,1953-11-14
394,Fair,3,32,33,247,113,1960-12-20
395,Good,5,39,29,204,158,1981-11-22
396,Average,4,41,26,146,52,1961-09-02
397,Average,3,93,41,103,239,2003-10-05
398,Good,5,33,17,84,96,1954-10-27
399,Fair,3,37,45,220,272,1967-10-13
400,Good,4,61,11,138,79,2005-11-01
401,Fair,3,43,45,283,319,2002-01-11
402,Good,4,68,36,188,232,1967-09-18
403,Poor,2,82,39,99,155,1962-10-18
404,Poor,2,96,26,97,42,1994-11-28
405,Poor,2,46,17,287,302,1995-09-23
406,Good,4,60,43,302,274,1960-11-22
407,Good,5,49,23,265,91,1973-06-06
408,Excellent,5,94,15,256,305,1976-06-26
409,Fair,3,44,20,305,28,1956-05-13
410,Good,5,08,37,330,291,2007-07-26
411,Poor,2,05,22,226,248,1964-10-16
412,Fair,3,15,46,177,270,1958-08-22
413,Average,3,50,38,60,39,1971-01-09
414,Average,4,05,45,143,244,1992-04-03
415,Average,4,37,16,245,168,1995-02-28
416,Excellent,5,97,11,222,221,1956-07-16
417,Average,3,92,9,10,157,1977-08-23
418,Fair,3,35,41,103,239,1956-01-08
419,Poor,2,47,31,229,86,1990-08-23
420,Poor,2,84,39,31,107,1978-05-15
421,Excellent,5,69,42,230,170,1980-10-14
422,Fair,3,17,40,128,301,2002-05-08
423,Average,4,29,36,198,241,1996-09-03
424,Excellent,5,80,23,225,27,1973-11-24
425,Poor,2,69,29,288,167,1965-06-29
426,Poor,2,36,37,175,92,1997-04-19
427,Poor,2,32,25,75,164,1960-11-22
428,Average,3,51,25,165,247,1977-04-27
429,Average,4,08,20,333,210,1971-11-11
430,Average,4,01,10,1,62,1969-11-10
431,Poor,2,07,26,259,77,1992-04-01
432,Average,3,50,46,201,24,1978-08-30
433,Poor,2,61,47,206,324,1988-02-15
434,Poor,2,24,43,105,151,1977-08-04
435,Poor,2,28,32,299,263,1976-05-09
436,Good,4,52,36,193,233,1971-10-21
437,Fair,3,17,41,101,225,1979-02-18
438,Good,5,37,17,328,11,1976-03-02
439,Poor,2,97,47,72,161,2001-06-14
440,Average,3,83,36,198,241,1973-06-27
441,Good,5,45,24,218,185,1954-07-11
442,Excellent,5,57,34,48,142,1999-09-11
443,Good,4,90,10,58,70,1982-12-07
444,Fair,3,20,33,298,120,1973-09-29
445,Fair,3,11,44,251,214,1996-09-23
446,Excellent,5,87,42,63,23,1983-03-28
447,Good,4,93,46,241,211,1988-04-16
448,Good,5,39,47,72,161,1969-08-12
449,Good,4,96,34,179,331,1973-10-23
450,Good,5,43,7,262,299,1978-05-09
451,Poor,2,48,19,323,258,1992-01-10
452,Poor,2,57,24,291,295,2000-09-28
453,Good,4,86,21,271,271,1972-03-06
454,Poor,2,53,42,205,153,1997-05-31
455,Good,4,92,30,325,69,1978-01-19
456,Poor,2,25,40,189,6,2007-09-06
457,Poor,2,39,24,218,185,1979-01-14
458,Fair,3,02,25,309,49,1996-11-24
459,Poor,2,26,34,48,142,1982-06-01
460,Poor,2,10,18,248,32,2006-06-06
461,Average,4,27,25,75,164,2007-12-31
462,Average,3,98,35,5,333,2004-02-09
463,Average,3,85,32,299,263,1957-08-17
464,Good,5,43,8,304,329,1994-07-03
465,Good,5,01,9,264,137,1968-04-26
466,Good,4,56,45,51,181,1994-02-16
467,Poor,2,54,14,86,66,1978-07-08
468,Fair,3,25,31,160,304,2001-06-06
469,Average,3,76,31,310,173,1968-11-25
470,Excellent,5,85,9,294,146,1976-05-10
471,Good,4,79,31,132,234,1985-05-29
472,Good,4,55,15,121,50,1954-06-24
473,Poor,2,38,26,146,52,1962-07-26
474,Good,4,65,38,19,313,1970-02-26
475,Fair,3,40,39,99,155,1976-11-04
476,Poor,2,12,43,50,281,1989-02-02
477,Average,4,28,9,217,326,1972-06-01
478,Fair,3,08,46,219,37,1975-12-07
479,Good,4,68,40,18,163,1985-03-03
480,Poor,2,82,35,140,236,1990-04-03
481,Fair,3,43,47,290,114,1962-01-03
482,Poor,2,94,29,204,158,1999-04-12
483,Good,4,56,7,96,240,1956-07-06
484,Good,4,66,32,69,320,2001-07-04
485,Average,3,53,17,328,11,1985-11-01
486,Excellent,5,51,26,259,77,1999-07-04
487,Good,4,65,10,17,235,1959-06-27
488,Poor,2,07,42,203,128,1998-09-17
489,Fair,3,32,41,297,84,2007-07-17
490,Poor,2,03,39,55,124,1976-09-03
491,Average,4,13,22,246,321,2000-10-06
492,Poor,2,15,34,261,93,1990-03-27
493,Good,5,10,45,320,121,2001-10-01
494,Poor,2,86,23,225,27,2003-01-08
495,Excellent,5,56,18,266,48,1973-06-28
496,Fair,3,47,7,96,240,1958-06-02
497,Average,3,71,17,328,11,1995-01-26
498,Good,5,48,22,226,248,1996-06-05
499,Average,4,20,7,262,299,1958-06-05
500,Good,4,56,38,197,216,1955-08-08
501,Good,5,33,8,174,198,1957-09-21
502,Average,3,67,23,8,104,1994-11-11
503,Average,3,62,10,1,62,1953-09-18
504,Good,5,11,9,192,285,2005-06-14
505,Poor,2,63,28,35,318,2000-12-11
506,Average,3,94,13,123,191,1990-07-20
507,Poor,2,18,33,46,145,1991-03-06
508,Poor,2,21,40,18,163,1955-01-09
509,Good,5,14,39,81,134,1973-07-27
510,Good,4,79,28,73,76,1996-12-16
511,Average,3,97,10,17,235,1988-04-07
512,Good,5,31,36,281,156,1956-02-09
513,Average,4,34,12,114,303,1964-09-23
514,Good,5,45,39,293,100,2000-02-29
515,Good,4,67,44,251,214,1997-06-04
516,Fair,3,33,47,72,161,1961-09-20
517,Good,5,42,25,257,327,2000-08-06
518,Good,5,20,24,218,185,1964-02-13
519,Average,3,90,25,88,178,1961-09-02
520,Excellent,5,50,30,158,165,1976-10-24
521,Excellent,5,91,12,7,94,1987-08-24
522,Poor,2,46,34,180,26,1987-10-21
523,Excellent,5,94,7,262,299,2001-11-21
524,Average,3,73,7,125,280,2000-03-24
525,Average,3,72,8,174,198,1983-08-04
526,Good,4,64,35,144,108,2003-03-05
527,Good,5,45,16,269,206,1960-09-22
528,Excellent,5,52,38,19,313,1967-07-19
529,Good,5,09,47,206,324,2004-08-31
530,Excellent,5,94,40,18,163,1971-06-05
531,Average,4,42,33,89,222,2002-01-08
532,Good,4,81,47,115,188,1983-12-28
533,Good,4,89,38,197,216,1970-07-04
534,Poor,2,11,15,181,98,1982-07-27
535,Average,3,50,43,302,274,1985-07-13
536,Excellent,5,77,21,36,140,1975-02-23
537,Good,5,32,17,287,302,1998-07-26
538,Good,5,45,16,113,286,1959-01-23
539,Average,4,02,36,274,152,1953-07-24
540,Excellent,5,60,17,130,187,2003-04-14
541,Good,5,33,30,118,75,1961-05-01
542,Average,4,44,20,254,25,1957-06-18
543,Poor,2,94,39,81,134,1978-02-21
544,Good,4,53,20,254,25,1963-08-01
545,Average,4,06,33,134,138,1996-05-29
546,Good,4,82,13,137,224,1997-08-29
547,Average,3,81,42,199,71,1978-07-04
548,Excellent,5,66,20,43,242,1954-08-04
549,Average,4,20,40,18,163,1958-08-07
550,Average,4,23,44,172,150,1964-10-08
551,Average,4,05,44,27,250,1965-10-27
552,Good,4,51,17,95,125,1983-12-14
553,Average,3,58,47,206,324,1987-10-05
554,Good,4,70,44,176,204,1989-08-12
555,Good,4,65,33,178,103,1975-12-15
556,Good,4,86,21,90,253,1977-12-01
557,Average,3,74,43,50,281,2000-12-20
558,Excellent,5,90,18,4,180,1961-06-27
559,Fair,3,39,22,186,90,1974-11-11
560,Average,4,00,8,215,200,2005-10-09
561,Average,4,49,47,223,51,1982-10-28
562,Poor,2,66,31,310,173,1976-08-19
563,Fair,3,12,33,89,222,1958-05-11
564,Good,5,21,7,96,240,1955-02-22
565,Poor,2,37,40,189,6,2002-12-09
566,Good,5,17,12,80,117,1957-04-11
567,Poor,2,42,38,267,257,1993-08-08
568,Average,4,22,35,147,199,1990-02-27
569,Average,3,94,19,28,63,1967-08-19
570,Good,4,91,40,189,6,1975-04-12
571,Average,4,01,25,2,111,1971-02-26
572,Excellent,5,98,36,274,152,1994-07-15
573,Fair,3,17,46,219,37,1963-07-24
574,Average,4,31,20,254,25,1966-05-21
575,Poor,2,17,13,182,73,1968-06-26
576,Fair,3,47,11,49,13,1983-03-09
577,Excellent,5,52,35,140,236,1962-08-31
578,Fair,3,40,33,298,120,1991-04-24
579,Excellent,5,67,14,240,144,1956-10-26
580,Good,4,90,47,278,141,1993-12-06
581,Poor,2,83,21,36,140,1977-09-01
582,Excellent,5,80,7,262,299,1959-02-20
583,Fair,3,32,39,293,100,1961-12-12
584,Poor,2,86,8,107,55,1992-11-23
585,Average,3,88,16,269,206,1958-08-10
586,Excellent,5,91,47,72,161,1971-01-26
587,Fair,3,22,13,137,224,2004-03-24
588,Poor,2,19,32,66,293,1988-11-21
589,Fair,3,47,11,243,276,1959-08-14
590,Good,4,64,9,44,255,1960-08-12
591,Average,4,02,20,43,242,1982-03-05
592,Good,5,43,35,62,20,1990-01-29
593,Average,4,06,9,234,123,1992-03-13
594,Poor,2,02,12,45,109,1955-10-16
595,Fair,3,10,19,25,56,1973-06-17
596,Good,4,66,19,190,105,1992-09-11
597,Fair,3,31,19,28,63,2007-02-07
598,Average,3,74,40,18,163,1975-12-31
599,Average,4,16,31,163,17,1968-08-22
600,Good,4,89,9,156,259,1992-02-18
601,Average,4,40,17,328,11,1957-01-22
602,Excellent,5,59,11,138,79,1996-05-06
603,Average,3,71,33,164,101,1994-12-16
604,Good,5,30,24,142,306,1991-04-27
605,Poor,2,21,28,159,112,2001-08-13
606,Average,4,07,43,302,274,1979-04-14
607,Fair,3,33,32,57,283,1973-05-24
608,Good,5,27,46,201,24,1974-05-17
609,Good,4,53,44,155,99,1974-02-17
610,Fair,3,18,13,22,159,2000-10-08
611,Good,5,35,10,233,332,1968-04-03
612,Poor,2,33,17,84,96,1962-08-29
613,Poor,2,22,43,208,228,1957-09-01
614,Average,4,49,25,309,49,1988-12-06
615,Fair,3,16,34,314,130,1981-02-07
616,Good,4,69,28,159,112,1976-09-08
